EWR,NCE
NCE,EWR
IAD,TRN
LBG,IAD
BNA,SJD
CPH,EWR
FAB,BZN
HPN,AXA
LTN,TEB
MHH,ORL
SNN,HPN
TEB,BMA
TEB,LTN
FLL,BCN
ALB,TEB
APC,LAS
APC,TUS
AUS,BUR
BFI,TRM
BMI,TEB
BNA,TLH
BUR,SFO
CMH,PHX
CMH,RSW
DPA,SCF
EGE,MIA
IAD,MDW
IND,IAD
JAC,IAH
JFK,PBI
KOA,MRY
KOA,VNY
LAS,EGE
LAX,SFO
MDT,TEB
MDW,BMI
MHT,PBI
MIA,ORL
MRY,KOA
MSN,TEB
OGG,SJC
OPF,PSP
PBI,HPN
PBI,PHL
PBI,RST
PBI,VNY
PDX,MSN
PHL,PHX
PHX,PHL
PHX,TEB
PSP,OPF
PVD,TEB
RSW,CMH
SAT,ADS
SFO,BOS
SJC,OGG
SLC,HPN
STL,TTN
TEB,ALB
TEB,BCT
TEB,BNA
TEB,GRR
TEB,IAD
TEB,PVD
TEB,PWK
TTN,PHL
TUS,APC
VNY,HSV
VNY,KOA
VNY,SLC
YIP,OLM
GGT,PBI
MHH,TEB
MIA,YYZ
PBI,GGT
PBI,STX
SXM,FXE
YVR,BFI
BED,MVL
BGD,LAS
BTV,CDW
HGR,HPN
HPN,MVY
HPN,NPT
HPN,TRI
HPN,YYZ
PDK,BGD
PWM,ALB
TRI,HPN
ASE,HPN
SAN,SJC
SJC,SAN
TRM,SAN
SFB,AUS
SFB,SFB
FLL,ASD
HOM,SOV
KQA,KQA
PGM,SOV
SOV,HOM
SOV,PGM
ANI,RSH
BET,MLL
KGX,SHX
KLG,ANI
PHO,ANC
ABL,SHG
GLV,WMO
KTS,TLA
OBU,SHG
OME,KKA
SHH,OTZ
SHH,WAA
SKK,KKA
SMK,WBB
UNK,ELI
WAA,KTS
PHL,ATL
TLH,SAV
BNA,LIT
DFW,BHM
PIT,DCA
DOF,WFB
MTM,MTM
BFI,YCD
AKN,DLG
BNA,OPF
LAX,HNL
TEB,SJU
UST,BNA
BNA,YHZ
FAI,NUL
GAL,KYU
KAL,RBY
KBC,FYU
KLW,KTN
AKI,TLT
ATT,PKA
BET,ATT
BET,KLG
BET,MOU
KKI,TLT
PKA,ATT
PKA,KUK
TLT,BET
TLT,KKI
WNA,BET
KKB,A43
WFB,CGA
VEE,FAI
BET,SXP
EHM,BET
IGG,AKN
KCQ,KPV
KLL,DLG
KLL,IGG
KOT,AUK
OOK,WWT
PIP,PTH
